Date,Location,Operator,Type,Aboard,Fatalities,Ground,Operator_Category,Month,Year
2005-09-15,"Alto da Boa Vista, Brazil",Viaçao Cometa,Cessna 525 CitationJet I,2.0,2.0,0.0,other,9,2005
2005-09-23,"Haena, Hawaii","Heli-USA Airways, In- Air Taxi",Aerospatiale AS-350BA,6.0,4.0,0.0,commercial,9,2005
2005-10-04,"Aru, DemocratiRepubliCogo",Wimbi Dira Airways,Antonov 12V,100.0,2.0,0.0,commercial,10,2005
2005-10-06,"Winnipeg, Canada",Morningstar Air Express,Cessna 208B,1.0,1.0,0.0,commercial,10,2005
2005-10-22,"Lisa, Nigeria",Bellview Airlines,Boeing B-737-2L9,117.0,117.0,0.0,commercial,10,2005
2005-11-19,"Stupino, Russia",Ivolga Avia,Cessna 208B Grand Caravan I,8.0,8.0,0.0,other,11,2005
2005-12-06,"Tehran, Iran",Military - IslamiRepubliof Iran Air Force,Lockheed C-130B Hercules,94.0,94.0,14.0,military,12,2005
2005-12-08,"Chicago, Illinois",Southwest Airlines,Boeing B-737-7H4,103.0,0.0,1.0,commercial,12,2005
2005-12-10,"Near Port Harcourt, Nigeria",Sosoliso Airlines,McDonnell DC-9-32,109.0,108.0,0.0,commercial,12,2005
2005-12-19,"Off Miami Beach, Florida",Chalk's Ocean Airways,Grumman G73T Turbo Mallard,20.0,20.0,0.0,commercial,12,2005
2005-12-23,"Nardaran, Azerbaijan",Azerbaijan Airlines,Antonov AN-140-100,23.0,23.0,0.0,commercial,12,2005
2006-11-17,"Puncak Jaya, Indonesia",Trigana Air Service,de Havilland Canada DHC-6 Twin Otter 300,12.0,12.0,0.0,commercial,11,2006
2005-12-28,"Truckee, California",Skyward Aviation,Gates Learjet 35A,2.0,2.0,0.0,other,12,2005
2006-01-02,Near Karkov,Evolga,British Aerospace BAe-125-700A,3.0,3.0,0.0,other,1,2006
2006-01-08,"Bukalaza, Uganda",Service Air,Antonov 12,6.0,6.0,0.0,commercial,1,2006
2006-01-09,"Near Orumiyeh, Iran",Military - Iranian Revolutionary Guard Corps Air Force,Dassault Falcon 20,11.0,11.0,0.0,military,1,2006
